year,Male,Female,
Mar-18,4.2,4.2,in %
Apr-18,4.3,4.1,in %
May-18,4.2,4.1,in %
Jun-18,4,4,in %
Jul-18,4,4,in %
Aug-18,4.1,4,in %
Sep-18,4.2,4,in %
Oct-18,4.1,4,in %
Nov-18,4.1,4,in %
Dec-18,4.1,3.9,in %
Jan-19,4,3.8,in %
Feb-19,4.1,3.8,in %
Mar-19,3.9,3.7,in %
Apr-19,4,3.7,in %
May-19,4,3.6,in %
Jun-19,4.1,3.6,in %
Jul-19,4,3.6,in %
Aug-19,4,3.7,in %
Sep-19,4.1,3.6,in %
Oct-19,4,3.5,in %
Nov-19,4,3.6,in %
Dec-19,3.9,3.6,in %
Jan-20,4.1,3.7,in %
Feb-20,4.2,3.7,in %
Mar-20,4.2,3.8,in %
Apr-20,4.2,3.8,in %
May-20,4.2,4.1,in %
Jun-20,4.2,4,in %
Jul-20,4.5,4.1,in %
Aug-20,4.9,4.1,in %
Sep-20,5.2,4.4,in %
Oct-20,5.3,4.7,in %
Nov-20,5.4,4.8,in %
Dec-20,5.4,5,in %
Jan-21,5.4,4.9,in %
Feb-21,5.3,4.8,in %
Mar-21,5.1,4.6,in %
Apr-21,5,4.7,in %
May-21,4.9,4.8,in %
Jun-21,4.9,4.5,in %
Jul-21,4.7,4.4,in %
Aug-21,4.6,4.3,in %
Sep-21,4.4,4.1,in %
Oct-21,4.3,4.1,in %
